Names,PSNRs_Avg,SSIMs_Avg,Times_Avg
DME-1029576-2.jpeg,23.4117133390555,0.564221027766027,0.0047274
DME-1029576-3.jpeg,23.496683148917,0.524693905927225,0.0019804
DME-1029576-4.jpeg,22.8745905657318,0.522000317426583,0.0022924
DME-1029576-5.jpeg,23.489632627508,0.525526266197164,0.0018972
DME-1043402-1.jpeg,21.3096149741909,0.320714351783992,0.0018435
NORMAL206.jpeg,23.0806717789868,0.407171661390792,0.0018254
NORMAL21.jpeg,23.2205752647795,0.396429853068606,0.0015091
NORMAL22.jpeg,22.8357551889395,0.403662622864894,0.0020792
skan59.jpeg,25.9456040228592,0.34305563125547,0.0027716
patient1_raw0002.png,25.8074622932807,0.354666646590766,0.0021233
patient1_raw0003.png,25.8108850012682,0.35392893821405,0.0031444
patient1_raw0004.png,25.8311092949552,0.35479616908724,0.0023582
patient1_raw0005.png,25.8231663405875,0.354245297439216,0.0026117
patient1_raw0006.png,25.8300310902651,0.357257794084994,0.0022981
